,Name,Album,Artist
0,Fairy in the House,"Off the Record, Vol. 1",Kurt Maloo
1,Grow Apart,Grow Apart,Runaway Jjae
2,Raven,Ocean Mask Whispers,SAD GODS
3,Tu ik Dafa,Tu ik Dafa,Kedar Deshmukh
4,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina
5,SNORING,SNORING,BNH Deluxe
6,Boys,Boys,Jenna Lotti
7,RAINDROP,RAINDROP,7KY
8,Len Deg Inntil Meg,Len Deg Inntil Meg,Sofie Fjellvang
9,how did we,how did we,Sages
10,Bday Blues,Bday Blues,Erin LeCount
11,Creep,Creep,ORYL
12,Six Feet Under,Six Feet Under,Billie Eilish
13,L.A.,ARC 003,Verskotzi
14,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
15,Lying in LA,Lying in LA,Britta
16,Heather,Kid Krow,Conan Gray
17,Circles,Hollywood's Bleeding,Post Malone
18,Loosing Interest,Passion & Confusion,Timmies
19,High - Slowed + Reverb,High,ORYL
20,It's You,YOU,Ali Gatie
21,Where Is My Mind?,Where Is My Mind?,ORYL
22,Despedida,Live Masterlink Session,Javier Moreno
23,Better Now,Better Now,ORYL
24,Jocelyn Flores,17,XXXTENTACION
25,Everybody Dies In Their Nightmares,17,XXXTENTACION
26,Keep You Close,Keep You Close,ORYL
27,Heartbreak Anniversary,TAKE TIME,Giveon
28,idfc,deadroses,blackbear
29,Till Forever Falls Apart,Till Forever Falls Apart,Ashe
30,Someone Like You,21,Adele
31,Train Wreck,Back from the Edge,James Arthur
32,bad ones,TOO YOUNG TO BE SAD,Tate McRae
33,Arcade,Small Town Boy (Track By Track),Duncan Laurence
34,Tell Me Goodbye,Tell Me Goodbye,ORYL
35,r u ok,TOO YOUNG TO BE SAD,Tate McRae
36,Happier,÷ (Deluxe),Ed Sheeran
37,7 Years,Lukas Graham,Lukas Graham
38,slower,slower,Tate McRae
39,drivers license,drivers license,Olivia Rodrigo
40,Lonely (with benny blanco),Lonely (with benny blanco),Justin Bieber
41,Half A Man,A Place We Knew,Dean Lewis
42,1-800-273-8255,Everybody,Logic
43,Let It Go,Chaos And The Calm,James Bay
44,Spinning,Spinning,Trinity Sander
45,lovely (with Khalid),lovely (with Khalid),Billie Eilish
46,changes,?,XXXTENTACION
47,"i hate u, i love u (feat. olivia o'brien)",us,gnash
48,Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
49,Kiss You,Kiss You,Steph Devine
50,when the party's over,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish
51,Dancing With A Stranger (With Normani) - Acoustic,Dancing With A Stranger (With Normani) [Acoustic],Sam Smith
52,You Belong To Somebody Else,You Belong To Somebody Else,PJ Harding
53,High,High,ORYL
54,Be Alright,A Place We Knew,Dean Lewis
55,Can We Kiss Forever?,Can We Kiss Forever?,Kina
56,If The World Was Ending,If The World Was Ending,JP Saxe
57,my future,my future,Billie Eilish
58,Nude,In Rainbows,Radiohead
59,At My Worst,The Prelude,Pink Sweat$
60,Fix You,X&Y,Coldplay
61,XO,i think you think too much of me,EDEN
62,Coaster,American Teen,Khalid
63,Not About Angels,Not About Angels,Birdy
64,Let Her Go,All The Little Lights,Passenger
65,Save Your Tears,After Hours,The Weeknd
66,Breathe Me,Colour The Small One,Sia
67,Hold Me While You Wait,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
68,Let You Down,Perception,NF
69,Say You Won't Let Go,Back from the Edge,James Arthur
70,I Need You,I Need You,ORYL
71,Moonlight,YOU,Ali Gatie
72,You're Beautiful,Back to Bedlam,James Blunt
73,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake
74,Yellow,Parachutes,Coldplay
75,Feel,Escapology,Robbie Williams
76,you broke me first,you broke me first,Tate McRae
77,No Surprises,OK Computer,Radiohead
78,All of Me,Love In The Future (Expanded Edition),John Legend
79,you were good to me (bonus track),love is not dying,Jeremy Zucker
80,Lie,Perception,NF
81,this is how you fall in love,brent ii,Jeremy Zucker
82,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi
83,better off,glisten,Jeremy Zucker
84,a fireplace,a fireplace,Photography
85,ATLAS,ATLAS,JOLENE
86,If You Want Love,Perception,NF
87,I Fall Apart,Stoney (Deluxe),Post Malone
88,Skinny Love,Birdy,Birdy
89,What I Need,What I Need,ORYL
90,Can I Be Him,Back from the Edge,James Arthur
91,what did you expect,what did you expect,Brianna Bollinger
92,i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish
93,I'm Not Enough and I'm Sorry,I'm Not Enough and I'm Sorry,Teqkoi
94,Let Me Down Slowly,Narrated For You,Alec Benjamin
95,Waves,A Place We Knew,Dean Lewis
96,You Are The Reason,Only Human (Deluxe),Calum Scott
97,brooklyn boy,brent ii,Jeremy Zucker
98,One Day,One Day,Tate McRae
99,July,THE END OF EVERYTHING,Noah Cyrus
