,Name,Album,Artist
0,Saibo,Shor in the City (Original Motion Picture Soundtrack),Sachin-Jigar
1,,,Various Artists
2,Mera Mann Kehne Laga,Latest Songs Of Ayushmann Khurrana,Ayushmann Khurrana
3,,,Various Artists
4,Liggi,Liggi,Ritviz
5,Tum Jab Paas,Tum Jab Paas - Single,Prateek Kuhad
6,,,Various Artists
7,Maahi Ve,Highway,A.R. Rahman
8,"Mann Mera (From ""Table No. 21"")",Table No. 21,"Gajendra Verma, Neeraj Shridhar, Sachin Gupta"
9,Aabaad Barbaad,Ludo,Pritam
10,Ek Jindari,Hindi Medium,Various Artists
11,Hardum Humdum,Ludo,Pritam
12,Khaab,Khaab,Akhil
13,"Humraah (From ""Malang - Unleash The Madness"")","Humraah (From ""Malang - Unleash The Madness"")",Sachet Tandon
14,"Aashiq Tera (From ""Happy Bhag Jayegi"")",Happy Bhag Jayegi (Original Motion Picture Soundtrack),Sohail Sen
15,Barbaadiyan,Shiddat,Various Artists
16,Nit Nit,Nit Nit,Jasleen Royal
