,Name,Album,Artist
0,un x100to,un x100to,Grupo Frontera
1,Ella Baila Sola,DESVELADO,Eslabon Armado
2,La Bebe - Remix,La Bebe (Remix),Yng Lvcas
3,Cupid - Twin Ver.,The Beginning: Cupid,FIFTY FIFTY
4,Flowers,Endless Summer Vacation,Miley Cyrus
5,Daylight,Daylight,David Kushner
6,Kill Bill,SOS,SZA
7,As It Was,Harry's House,Harry Styles
8,TQG,MAÑANA SERÁ BONITO,KAROL G
9,PRC,PRC,Peso Pluma
10,Classy 101,Classy 101,Feid
11,BESO,RR,ROSALÍA
12,Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin
13,Die For You (with Ariana Grande) - Remix,Starboy (Deluxe),The Weeknd
14,Boy's a liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress
15,See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator"
16,Calm Down (with Selena Gomez),Rave & Roses Ultra,Rema
17,El Azul,El Azul,Junior H
18,AMG,AMG,Natanael Cano
19,Yandel 150,Resistencia,Yandel
20,Die For You,Starboy,The Weeknd
21,Anti-Hero,Midnights,Taylor Swift
22,I'm Good (Blue),I'm Good (Blue),David Guetta
23,I Wanna Be Yours,AM,Arctic Monkeys
24,Last Night,One Thing At A Time,Morgan Wallen
25,Starboy,Starboy,The Weeknd
26,Here With Me,Here With Me,d4vd
27,golden hour,this is what ____ feels like (Vol. 1-4),JVKE
28,Por las Noches,Por las Noches,Peso Pluma
29,Double Fantasy (with Future),Double Fantasy,The Weeknd
30,Until I Found You (with Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),Stephen Sanchez
31,Another Love,Long Way Down,Tom Odell
32,Unholy (feat. Kim Petras),Gloria,Sam Smith
33,FLOWER,ME,JISOO
34,I Ain't Worried,OneRepublic (Japan Paradise Tour Edition),OneRepublic
35,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap
36,Conexões de Máfia (feat. Rich The Kid),Conexões de Máfia (feat. Rich The Kid),Matuê
37,El Gordo Trae El Mando,El Gordo Trae El Mando,Chino Pacas
38,Moonlight,Red Moon In Venus,Kali Uchis
39,Like Crazy,FACE,Jimin
40,Angels Like You,Plastic Hearts,Miley Cyrus
41,Search & Rescue,Search & Rescue,Drake
42,People,People,Libianca
43,Chemical,Chemical,Post Malone
44,Mockingbird,Encore (Deluxe Version),Eminem
45,Haegeum,D-DAY,Agust D
46,Escapism.,My 21st Century Blues,RAYE
47,UNFORGIVEN (feat. Nile Rodgers),UNFORGIVEN,LE SSERAFIM
48,La Bachata,2000,Manuel Turizo
49,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap
